Organisation Code;Organisation Name;All Procedures - Total HES Procedures;All Procedures - Total Pre-Op Qs;All Procedures - Participation Rate;All Procedures - Total Linked;All Procedures - Linkage rate;All Procedures - Total Q2s sent to date;All Procedures - Issue rate;All Procedures - Total Q2s returned to date;All Procedures - Response rate;Hip Replacement - Total HES Procedures;Hip Replacement - Total Pre-Op Qs;Hip Replacement - Participation Rate;Hip Replacement - Total Linked;Hip Replacement - Linkage rate;Hip Replacement - Total Q2s sent to date;Hip Replacement - Issue rate;Hip Replacement - Total Q2s returned to date;Hip Replacement - Response rate;Primary Hip Replacement - Total HES Procedures;Primary Hip Replacement - Total Pre-Op Qs;Primary Hip Replacement - Participation Rate;Primary Hip Replacement - Total Linked;Primary Hip Replacement - Linkage rate;Primary Hip Replacement - Total Q2s sent to date;Primary Hip Replacement - Issue rate;Primary Hip Replacement - Total Q2s returned to date;Primary Hip Replacement - Response rate;Revision Hip Replacement - Total HES Procedures;Revision Hip Replacement - Total Pre-Op Qs;Revision Hip Replacement - Participation Rate;Revision Hip Replacement - Total Linked;Revision Hip Replacement - Linkage rate;Revision Hip Replacement - Total Q2s sent to date;Revision Hip Replacement - Issue rate;Revision Hip Replacement - Total Q2s returned to date;Revision Hip Replacement - Response rate;Knee Replacement - Total HES Procedures;Knee Replacement - Total Pre-Op Qs;Knee Replacement - Participation Rate;Knee Replacement - Total Linked;Knee Replacement - Linkage rate;Knee Replacement - Total Q2s sent to date;Knee Replacement - Issue rate;Knee Replacement - Total Q2s returned to date;Knee Replacement - Response rate;Primary Knee Replacement - Total HES Procedures;Primary Knee Replacement - Total Pre-Op Qs;Primary Knee Replacement - Participation Rate;Primary Knee Replacement - Total Linked;Primary Knee Replacement - Linkage rate;Primary Knee Replacement - Total Q2s sent to date;Primary Knee Replacement - Issue rate;Primary Knee Replacement - Total Q2s returned to date;Primary Knee Replacement - Response rate;Revision Knee Replacement - Total HES Procedures;Revision Knee Replacement - Total Pre-Op Qs;Revision Knee Replacement - Participation Rate;Revision Knee Replacement - Total Linked;Revision Knee Replacement - Linkage rate;Revision Knee Replacement - Total Q2s sent to date;Revision Knee Replacement - Issue rate;Revision Knee Replacement - Total Q2s returned to date;Revision Knee Replacement - Response rate;CSVYear
RJL;NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST;956;790;0.8263598;710;0.8987342;783;0.9911392;535;0.6832695;404;349;0.8638614;308;0.8825215;348;0.9971347;232;0.6666667;374;293;0.7834225;293;1;293;1;211;0.7201365;30;15;0.5;15;1;15;1;9;0.6;552;441;0.798913;402;0.9115646;435;0.9863946;303;0.6965517;526;389;0.7395437;389;1;385;0.9897172;281;0.7298701;26;13;0.5;13;1;13;1;11;0.8461538;2018/19
RTF;NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST;2740;1900;0.6934307;1736;0.9136842;1890;0.9947368;1548;0.8190476;1272;895;0.7036164;815;0.9106145;891;0.9955307;732;0.8215488;1180;789;0.6686441;789;1;788;0.9987326;671;0.8515228;92;26;0.2826087;26;1;26;1;23;0.8846154;1468;1005;0.6846049;921;0.9164179;999;0.9940299;816;0.8168168;1419;907;0.6391825;907;1;905;0.9977949;764;0.8441989;49;14;0.2857143;14;1;14;1;10;0.7142857;2016/17
RTF;NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST;2697;1934;0.7170931;1744;0.901758;1921;0.9932782;1502;0.7818844;1327;931;0.7015825;851;0.9140709;924;0.9924812;740;0.8008658;1224;813;0.6642157;813;1;812;0.99877;675;0.8312808;103;38;0.368932;38;1;38;1;28;0.7368421;1370;1003;0.7321168;893;0.890329;997;0.9940179;762;0.7642929;1332;882;0.6621622;882;1;880;0.9977324;708;0.8045455;38;11;0.2894737;11;1;11;1;9;0.8181818;2017/18
RTF;NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST;2774;1729;0.6232877;1546;0.8941585;1721;0.995373;1326;0.7704823;1377;870;0.6318083;781;0.8977011;865;0.9942529;678;0.783815;1256;753;0.5995223;753;1;750;0.9960159;615;0.82;121;28;0.231405;28;1;28;1;21;0.75;1397;859;0.614889;765;0.8905704;856;0.9965076;648;0.7570093;1344;745;0.5543155;745;1;743;0.9973154;589;0.7927322;53;20;0.3773585;20;1;20;1;16;0.8;2018/19
RX1;NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST;1688;1753;10.385.071;797;0.4546492;1749;0.9977182;1265;0.7232704;814;840;1.031.941;417;0.4964286;839;0.9988095;601;0.716329;727;376;0.5171939;376;1;376;1;296;0.787234;87;41;0.4712644;41;1;41;1;26;0.6341463;874;913;10.446.224;380;0.4162103;910;0.9967141;664;0.7296703;788;351;0.4454315;351;1;351;1;296;0.8433048;86;29;0.3372093;29;1;29;1;23;0.7931034;2016/17
RX1;NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST;1502;1584;10.545.939;1101;0.6950758;1574;0.9936869;965;0.6130877;715;763;10.671.329;565;0.740498;757;0.9921363;480;0.6340819;646;529;0.8188854;529;1;525;0.9924386;371;0.7066667;69;36;0.5217391;36;1;36;1;30;0.8333333;787;821;1.043.202;536;0.6528624;817;0.9951279;485;0.5936353;713;491;0.6886396;491;1;488;0.99389;359;0.7356557;74;45;0.6081081;45;1;45;1;25;0.5555556;2017/18
RX1;NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST;1753;1257;0.7170565;879;0.699284;1251;0.9952267;773;0.6179057;783;604;0.7713921;440;0.7284768;600;0.9933775;388;0.6466667;722;418;0.5789474;418;1;416;0.9952153;313;0.7524038;61;22;0.3606557;22;1;22;1;17;0.7727273;970;653;0.6731959;439;0.6722818;651;0.9969372;385;0.5913978;881;413;0.4687855;413;1;413;1;291;0.7046005;89;26;0.2921348;26;1;26;1;17;0.6538462;2018/19
NT202;NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL;46;43;0.9347826;41;0.9534884;43;1.0;39;0.9069767;20;20;1;20;1;20;1;19;0.95;20;20;1;20;1;20;1;19;0.95;0;0;0;0;0;0;0;0;0;26;23;0.8846154;21;0.9130435;23;1;20;0.8695652;26;21;0.8076923;21;1;21;1;19;0.9047619;0;0;0;0;0;0;0;0;0;2016/17
NT202;NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL;75;58;0.7733333;56;0.9655172;57;0.9827586;49;0.8596491;48;33;0.6875;32;0.969697;33;1;27;0.8181818;48;32;0.6666667;32;1;32;1;26;0.8125;0;0;0;0;0;0;0;0;0;27;25;0.9259259;24;0.96;24;0.96;22;0.9166667;27;24;0.8888889;24;1;23;0.9583333;21;0.9130435;0;0;0;0;0;0;0;0;0;2017/18
NT202;NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL;75;62;0.8266667;58;0.9354839;62;1.0;53;0.8548387;37;28;0.7567568;27;0.9642857;28;1;24;0.8571429;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;38;34;0.8947368;31;0.9117647;34;1;29;0.8529412;38;31;0.8157895;31;1;31;1;28;0.9032258;0;0;0;0;0;0;0;0;0;2018/19
NT204;NUFFIELD HEALTH, BRENTWOOD HOSPITAL;206;272;13.203.883;178;0.6544118;258;0.9485294;207;0.8023256;113;133;11.769.912;97;0.7293233;126;0.9473684;105;0.8333333;*;*;*;*;*;*;*;83;*;*;*;*;*;*;*;*;0;*;93;139;14.946.237;81;0.5827338;132;0.9496403;102;0.7727273;93;81;0.8709677;81;1;80;0.9876543;67;0.8375;0;0;0;0;0;0;0;0;0;2016/17
NT204;NUFFIELD HEALTH, BRENTWOOD HOSPITAL;256;183;0.7148438;163;0.8907104;180;0.9836066;141;0.7833333;115;86;0.7478261;75;0.872093;85;0.9883721;65;0.7647059;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;141;97;0.6879433;88;0.9072165;95;0.9793814;76;0.8;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NT204;NUFFIELD HEALTH, BRENTWOOD HOSPITAL;367;275;0.7493188;258;0.9381818;275;1.0;211;0.7672727;169;124;0.7337278;121;0.9758065;124;1;102;0.8225806;169;121;0.7159763;121;1;121;1;100;0.8264463;0;0;0;0;0;0;0;0;0;198;151;0.7626263;137;0.9072848;151;1;109;0.7218543;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT205;NUFFIELD HEALTH, BRIGHTON HOSPITAL;40;30;0.75;16;0.5333333;30;1.0;25;0.8333333;16;7;0.4375;4;0.5714286;7;1;6;0.8571429;16;*;*;*;*;*;*;*;*;0;0;0;0;0;0;0;0;0;24;23;0.9583333;12;0.5217391;23;1;19;0.826087;24;12;0.5;12;1;12;1;9;0.75;0;0;0;0;0;0;0;0;0;2016/17
NT205;NUFFIELD HEALTH, BRIGHTON HOSPITAL;58;25;0.4310345;23;0.92;25;1.0;21;0.84;32;17;0.53125;16;0.9411765;17;1;13;0.7647059;32;16;0.5;16;1;16;1;12;0.75;0;0;0;0;0;0;0;0;0;26;8;0.3076923;7;0.875;8;1;8;1;*;7;0.28;*;1;7;1;7;1;*;0;*;0;0;0;0;0;0;2017/18
NT205;NUFFIELD HEALTH, BRIGHTON HOSPITAL;76;66;0.8684211;61;0.9242424;63;0.9545455;49;0.7777778;51;44;0.8627451;40;0.9090909;41;0.9318182;32;0.7804878;51;40;0.7843137;40;1;39;0.975;31;0.7948718;0;0;0;0;0;0;0;0;0;25;22;0.88;21;0.9545455;22;1;17;0.7727273;25;21;0.84;21;1;21;1;16;0.7619048;0;0;0;0;0;0;0;0;0;2018/19
NT206;NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD);79;106;13.417.722;73;0.6886792;106;1.0;85;0.8018868;50;59;1.18;48;0.8135593;59;1;47;0.7966102;50;48;0.96;48;1;48;1;38;0.7916667;0;0;0;0;0;0;0;0;0;29;47;16.206.897;25;0.5319149;47;1;38;0.8085106;29;25;0.862069;25;1;25;1;23;0.92;0;0;0;0;0;0;0;0;0;2016/17
NT206;NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD);88;78;0.8863636;67;0.8589744;77;0.9871795;56;0.7272727;41;30;0.7317073;29;0.9666667;29;0.9666667;22;0.7586207;41;29;0.7073171;29;1;28;0.9655172;22;0.7857143;0;0;0;0;0;0;0;0;0;47;48;10.212.766;38;0.7916667;48;1;34;0.7083333;47;38;0.8085106;38;1;38;1;29;0.7631579;0;0;0;0;0;0;0;0;0;2017/18
NT206;NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD);182;149;0.8186813;137;0.9194631;148;0.9932886;118;0.7972973;81;68;0.8395062;61;0.8970588;67;0.9852941;50;0.7462687;81;61;0.7530864;61;1;61;1;47;0.7704918;0;0;0;0;0;0;0;0;0;101;81;0.8019802;76;0.9382716;81;1;68;0.8395062;*;76;0.76;*;1;76;1;65;0.8552632;*;0;*;0;0;0;0;0;0;2018/19
NT209;NUFFIELD HEALTH, CAMBRIDGE HOSPITAL;142;276;1.943.662;256;0.9275362;275;0.9963768;228;0.8290909;85;167;19.647.059;161;0.9640719;167;1;134;0.8023952;85;161;18.941.176;161;1;161;1;130;0.8074534;0;0;0;0;0;0;0;0;0;57;109;19.122.807;95;0.8715596;108;0.9908257;94;0.8703704;57;95;16.666.667;95;1;95;1;82;0.8631579;0;0;0;0;0;0;0;0;0;2016/17
NT209;NUFFIELD HEALTH, CAMBRIDGE HOSPITAL;154;277;17.987.013;267;0.9638989;277;1.0;213;0.7689531;76;160;21.052.632;154;0.9625;160;1;116;0.725;76;154;20.263.158;154;1;154;1;113;0.7337662;0;0;0;0;0;0;0;0;0;78;117;1.5;113;0.965812;117;1;97;0.8290598;*;*;*;*;*;*;*;*;0.8303571;*;*;*;*;*;*;*;0;*;2017/18
NT209;NUFFIELD HEALTH, CAMBRIDGE HOSPITAL;144;327;22.708.333;315;0.9633028;327;1.0;254;0.7767584;68;160;23.529.412;157;0.98125;160;1;122;0.7625;68;157;23.088.235;157;1;157;1;121;0.7707006;0;0;0;0;0;0;0;0;0;76;167;21.973.684;158;0.9461078;167;1;132;0.7904192;76;158;20.789.474;158;1;158;1;128;0.8101266;0;0;0;0;0;0;0;0;0;2018/19
NT211;NUFFIELD HEALTH, CHELTENHAM HOSPITAL;26;21;0.8076923;20;0.952381;21;1.0;17;0.8095238;18;13;0.7222222;12;0.9230769;13;1;11;0.8461538;18;12;0.6666667;12;1;12;1;10;0.8333333;0;0;0;0;0;0;0;0;0;8;8;1;8;1;8;1;6;0.75;8;8;1;8;1;8;1;6;0.75;0;0;0;0;0;0;0;0;0;2016/17
NT211;NUFFIELD HEALTH, CHELTENHAM HOSPITAL;41;21;0.5121951;20;0.952381;20;0.952381;15;0.75;9;*;*;*;*;*;*;*;*;9;*;*;*;*;*;*;*;*;0;0;0;0;0;0;0;0;0;32;21;0.65625;20;0.952381;20;0.952381;15;0.75;32;20;0.625;20;1;20;1;15;0.75;0;0;0;0;0;0;0;0;0;2017/18
NT211;NUFFIELD HEALTH, CHELTENHAM HOSPITAL;22;16;0.7272727;14;0.875;16;1.0;13;0.8125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;16;0.7272727;14;0.875;16;1;13;0.8125;*;14;0.6666667;*;1;14;1;12;0.8571429;*;0;*;0;0;0;0;0;0;2018/19
NT212;NUFFIELD HEALTH, CHICHESTER HOSPITAL;280;51;0.1821429;40;0.7843137;50;0.9803922;46;0.92;140;24;0.1714286;23;0.9583333;23;0.9583333;22;0.9565217;*;23;*;23;1;23;1;22;0.9565217;*;0;*;0;0;0;0;0;0;140;27;0.1928571;17;0.6296296;27;1;24;0.8888889;*;17;0.1231884;*;1;17;1;16;0.9411765;*;0;*;0;0;0;0;0;0;2016/17
NT212;NUFFIELD HEALTH, CHICHESTER HOSPITAL;260;102;0.3923077;89;0.872549;101;0.9901961;80;0.7920792;108;28;0.2592593;27;0.9642857;28;1;22;0.7857143;*;27;*;27;1;27;1;22;0.8148148;*;0;*;0;0;0;0;0;0;152;74;0.4868421;62;0.8378378;73;0.9864865;58;0.7945205;*;62;0.410596;*;1;62;1;52;0.8387097;*;0;*;0;0;0;0;0;0;2017/18
NT212;NUFFIELD HEALTH, CHICHESTER HOSPITAL;179;168;0.9385475;157;0.9345238;167;0.9940476;130;0.7784431;83;76;0.9156627;72;0.9473684;75;0.9868421;52;0.6933333;*;72;*;72;1;72;1;50;0.6944444;*;0;*;0;0;0;0;0;0;96;92;0.9583333;85;0.923913;92;1;78;0.8478261;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT213;NUFFIELD HEALTH, DERBY HOSPITAL;566;651;11.501.767;473;0.7265745;645;0.9907834;542;0.8403101;268;259;0.9664179;228;0.8803089;258;0.996139;218;0.8449612;268;228;0.8507463;228;1;228;1;194;0.8508772;0;0;0;0;0;0;0;0;0;298;392;13.154.362;245;0.625;387;0.9872449;324;0.8372093;298;245;0.8221477;245;1;245;1;217;0.8857143;0;0;0;0;0;0;0;0;0;2016/17
NT213;NUFFIELD HEALTH, DERBY HOSPITAL;782;729;0.9322251;654;0.8971193;725;0.994513;580;0.8;311;285;0.9163987;262;0.9192982;282;0.9894737;227;0.8049645;311;*;*;*;*;*;*;217;*;0;*;*;*;*;*;*;0;*;471;444;0.9426752;392;0.8828829;443;0.9977477;353;0.7968397;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NT213;NUFFIELD HEALTH, DERBY HOSPITAL;874;838;0.9588101;787;0.9391408;837;0.9988067;693;0.827957;360;331;0.9194444;316;0.9546828;330;0.9969789;275;0.8333333;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;514;507;0.9863813;471;0.9289941;507;1;418;0.8244576;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT215;NUFFIELD HEALTH, EXETER HOSPITAL;254;216;0.8503937;202;0.9351852;216;1.0;185;0.8564815;68;51;0.75;51;1;51;1;43;0.8431373;68;51;0.75;51;1;51;1;43;0.8431373;0;0;0;0;0;0;0;0;0;186;165;0.8870968;151;0.9151515;165;1;142;0.8606061;*;*;*;*;*;*;*;*;0.8866667;*;*;*;*;*;*;*;0;*;2016/17
NT215;NUFFIELD HEALTH, EXETER HOSPITAL;21;22;1.047.619;20;0.9090909;21;0.9545455;18;0.8571429;8;6;0.75;6;1;6;1;4;0.6666667;8;6;0.75;6;1;6;1;4;0.6666667;0;0;0;0;0;0;0;0;0;13;16;12.307.692;14;0.875;15;0.9375;14;0.9333333;13;14;10.769.231;14;1;14;1;13;0.9285714;0;0;0;0;0;0;0;0;0;2017/18
NT215;NUFFIELD HEALTH, EXETER HOSPITAL;17;18;10.588.235;17;0.9444444;18;1.0;15;0.8333333;8;12;1.5;11;0.9166667;12;1;9;0.75;8;11;1.375;11;1;11;1;8;0.7272727;0;0;0;0;0;0;0;0;0;9;6;0.6666667;6;1;6;1;6;1;9;6;0.6666667;6;1;6;1;6;1;0;0;0;0;0;0;0;0;0;2018/19
NT218;NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL;76;94;12.368.421;53;0.5638298;94;1.0;74;0.787234;46;54;1.173.913;30;0.5555556;54;1;42;0.7777778;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;30;40;13.333.333;23;0.575;40;1;32;0.8;*;23;0.7931034;*;1;23;1;19;0.826087;*;0;*;0;0;0;0;0;0;2016/17
NT218;NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL;125;113;0.904;99;0.8761062;111;0.9823009;89;0.8018018;83;70;0.8433735;66;0.9428571;69;0.9857143;55;0.7971014;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;42;43;10.238.095;33;0.7674419;42;0.9767442;34;0.8095238;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NT218;NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL;135;115;0.8518519;104;0.9043478;115;1.0;91;0.7913043;90;74;0.8222222;68;0.9189189;74;1;61;0.8243243;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;45;41;0.9111111;36;0.8780488;41;1;30;0.7317073;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT219;NUFFIELD HEALTH, HEREFORD HOSPITAL;225;260;11.555.556;234;0.9;258;0.9923077;221;0.8565891;120;125;10.416.667;123;0.984;124;0.992;111;0.8951613;120;123;1.025;123;1;123;1;111;0.902439;0;0;0;0;0;0;0;0;0;105;135;12.857.143;111;0.8222222;134;0.9925926;110;0.8208955;105;111;10.571.429;111;1;110;0.990991;88;0.8;0;0;0;0;0;0;0;0;0;2016/17
NT219;NUFFIELD HEALTH, HEREFORD HOSPITAL;200;274;1.37;261;0.9525547;272;0.9927007;228;0.8382353;88;110;1.25;104;0.9454545;109;0.9909091;94;0.8623853;88;104;11.818.182;104;1;104;1;91;0.875;0;0;0;0;0;0;0;0;0;112;164;14.642.857;157;0.9573171;163;0.9939024;134;0.8220859;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NT219;NUFFIELD HEALTH, HEREFORD HOSPITAL;196;289;14.744.898;281;0.9723183;288;0.9965398;241;0.8368056;88;123;13.977.273;120;0.9756098;123;1;101;0.8211382;88;120;13.636.364;120;1;120;1;99;0.825;0;0;0;0;0;0;0;0;0;108;166;1.537.037;161;0.9698795;165;0.9939759;140;0.8484848;*;161;15.046.729;*;1;161;1;137;0.8509317;*;0;*;0;0;0;0;0;0;2018/19
NT222;NUFFIELD HEALTH, IPSWICH HOSPITAL;0;59;0.0;54;0.9152542;59;1.0;46;0.779661;*;26;*;25;0.9615385;26;1;21;0.8076923;*;25;*;25;1;25;1;20;0.8;0;0;0;0;0;0;0;0;0;*;33;*;29;0.8787879;33;1;25;0.7575758;*;29;*;29;1;29;1;25;0.862069;0;0;0;0;0;0;0;0;0;2016/17
NT225;NUFFIELD HEALTH, LEEDS HOSPITAL;573;660;11.518.325;529;0.8015152;657;0.9954545;527;0.8021309;219;243;1.109.589;201;0.8271605;240;0.9876543;192;0.8;219;201;0.9178082;201;1;200;0.9950249;168;0.84;0;0;0;0;0;0;0;0;0;354;417;11.779.661;328;0.7865707;417;1;335;0.8033573;345;320;0.9275362;320;1;320;1;263;0.821875;9;8;0.8888889;8;1;8;1;6;0.75;2016/17
NT225;NUFFIELD HEALTH, LEEDS HOSPITAL;616;653;10.600.649;583;0.8928025;652;0.9984686;503;0.7714724;216;240;11.111.111;205;0.8541667;239;0.9958333;190;0.7949791;216;205;0.9490741;205;1;205;1;166;0.8097561;0;0;0;0;0;0;0;0;0;400;413;10.325;378;0.9152542;413;1;313;0.7578692;390;369;0.9461538;369;1;369;1;292;0.7913279;10;9;0.9;9;1;9;1;5;0.5555556;2017/18
NT225;NUFFIELD HEALTH, LEEDS HOSPITAL;585;599;10.239.316;549;0.9165275;596;0.9949917;450;0.7550336;204;208;10.196.078;196;0.9423077;207;0.9951923;160;0.7729469;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;381;391;10.262.467;353;0.9028133;389;0.9948849;290;0.7455013;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT226;NUFFIELD HEALTH, LEICESTER HOSPITAL;333;210;0.6306306;183;0.8714286;210;1.0;181;0.8619048;109;67;0.6146789;63;0.9402985;67;1;61;0.9104478;109;63;0.5779817;63;1;63;1;57;0.9047619;0;0;0;0;0;0;0;0;0;224;143;0.6383929;120;0.8391608;143;1;120;0.8391608;224;120;0.5357143;120;1;120;1;100;0.8333333;0;0;0;0;0;0;0;0;0;2016/17
NT226;NUFFIELD HEALTH, LEICESTER HOSPITAL;310;288;0.9290323;267;0.9270833;288;1.0;219;0.7604167;113;122;1.079.646;113;0.9262295;122;1;98;0.8032787;113;113;1;113;1;113;1;92;0.8141593;0;0;0;0;0;0;0;0;0;197;166;0.8426396;154;0.9277108;166;1;121;0.7289157;197;154;0.7817259;154;1;154;1;118;0.7662338;0;0;0;0;0;0;0;0;0;2017/18
NT226;NUFFIELD HEALTH, LEICESTER HOSPITAL;403;365;0.9057072;339;0.9287671;365;1.0;278;0.7616438;182;165;0.9065934;153;0.9272727;165;1;129;0.7818182;182;153;0.8406593;153;1;153;1;124;0.8104575;0;0;0;0;0;0;0;0;0;221;200;0.9049774;186;0.93;200;1;149;0.745;221;186;0.841629;186;1;186;1;145;0.7795699;0;0;0;0;0;0;0;0;0;2018/19
NT229;NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL;133;472;35.488.722;437;0.9258475;468;0.9915254;371;0.792735;52;223;42.884.615;205;0.9192825;219;0.9820628;173;0.7899543;52;205;39.423.077;205;1;204;0.995122;166;0.8137255;0;0;0;0;0;0;0;0;0;81;249;30.740.741;232;0.9317269;249;1;198;0.7951807;*;232;2.9;*;1;232;1;189;0.8146552;*;0;*;0;0;0;0;0;0;2016/17
NT229;NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL;106;414;39.056.604;383;0.9251208;413;0.9975845;325;0.7869249;53;212;4;199;0.9386792;211;0.995283;165;0.7819905;53;199;3.754.717;199;1;199;1;157;0.7889447;0;0;0;0;0;0;0;0;0;53;202;38.113.208;184;0.9108911;202;1;160;0.7920792;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NT229;NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL;128;553;43.203.125;528;0.954792;550;0.994575;439;0.7981818;51;261;51.176.471;250;0.9578544;259;0.9923372;208;0.8030888;51;250;49.019.608;250;1;249;0.996;198;0.7951807;0;0;0;0;0;0;0;0;0;77;292;37.922.078;278;0.9520548;291;0.9965753;231;0.7938144;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT230;NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL;519;446;0.8593449;406;0.9103139;443;0.9932735;384;0.8668172;271;228;0.8413284;213;0.9342105;225;0.9868421;200;0.8888889;*;213;*;213;1;213;1;188;0.8826291;*;0;*;0;0;0;0;0;0;248;218;0.8790323;193;0.8853211;218;1;184;0.8440367;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2016/17
NT230;NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL;627;543;0.8660287;461;0.8489871;539;0.9926335;419;0.7773655;310;275;0.8870968;215;0.7818182;273;0.9927273;208;0.7619048;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;317;268;0.8454259;246;0.9179104;266;0.9925373;211;0.7932331;*;246;0.7884615;*;1;245;0.995935;197;0.8040816;*;0;*;0;0;0;0;0;0;2017/18
NT230;NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL;761;606;0.7963206;584;0.9636964;602;0.9933993;482;0.8006645;361;275;0.7617729;262;0.9527273;275;1;221;0.8036364;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;400;331;0.8275;322;0.9728097;327;0.9879154;261;0.7981651;*;322;0.8070175;*;1;321;0.9968944;256;0.7975078;*;0;*;0;0;0;0;0;0;2018/19
NT233;NUFFIELD HEALTH, PLYMOUTH HOSPITAL;301;297;0.986711;276;0.9292929;297;1.0;253;0.8518519;143;139;0.972028;134;0.9640288;139;1;120;0.8633094;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;158;158;1;142;0.8987342;158;1;133;0.8417722;158;142;0.8987342;142;1;142;1;120;0.8450704;0;0;0;0;0;0;0;0;0;2016/17
NT233;NUFFIELD HEALTH, PLYMOUTH HOSPITAL;282;275;0.9751773;267;0.9709091;274;0.9963636;226;0.8248175;144;138;0.9583333;135;0.9782609;137;0.9927536;110;0.8029197;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;138;137;0.9927536;132;0.9635036;137;1;116;0.8467153;138;132;0.9565217;132;1;132;1;113;0.8560606;0;0;0;0;0;0;0;0;0;2017/18
NT233;NUFFIELD HEALTH, PLYMOUTH HOSPITAL;273;282;1.032.967;257;0.9113475;281;0.9964539;224;0.797153;139;142;10.215.827;130;0.915493;142;1;114;0.8028169;139;130;0.9352518;130;1;130;1;110;0.8461538;0;0;0;0;0;0;0;0;0;134;140;10.447.761;127;0.9071429;139;0.9928571;110;0.7913669;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT235;NUFFIELD HEALTH, SHREWSBURY HOSPITAL;51;54;10.588.235;46;0.8518519;54;1.0;46;0.8518519;29;26;0.8965517;26;1;26;1;23;0.8846154;29;26;0.8965517;26;1;26;1;23;0.8846154;0;0;0;0;0;0;0;0;0;22;28;12.727.273;20;0.7142857;28;1;23;0.8214286;22;20;0.9090909;20;1;20;1;17;0.85;0;0;0;0;0;0;0;0;0;2016/17
NT235;NUFFIELD HEALTH, SHREWSBURY HOSPITAL;203;220;10.837.438;202;0.9181818;219;0.9954545;168;0.7671233;104;102;0.9807692;97;0.9509804;102;1;86;0.8431373;104;97;0.9326923;97;1;97;1;82;0.8453608;0;0;0;0;0;0;0;0;0;99;118;11.919.192;105;0.8898305;117;0.9915254;82;0.7008547;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
